model_id,cell_line_name,lineage,primary_disease,gene_effect
ACH-000001,NIH:OVCAR-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,0.023583539793859857
ACH-000004,HEL,Myeloid,Acute Myeloid Leukemia,0.05658419356828774
ACH-000005,HEL 92.1.7,Myeloid,Acute Myeloid Leukemia,0.18397976376746544
ACH-000007,LS513,Bowel,Colorectal Adenocarcinoma,-0.027426328255782954
ACH-000009,C2BBe1,Bowel,Colorectal Adenocarcinoma,0.1010072674437161
ACH-000011,253J,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,-0.13213161939640838
ACH-000012,HCC-827,Lung,Non-Small Cell Lung Cancer,-0.09241741898976996
ACH-000013,ONCO-DG-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.008955012977060922
ACH-000014,Hs 294T,Skin,Melanoma,0.14979483179063077
ACH-000015,NCI-H1581,Lung,Non-Small Cell Lung Cancer,-0.06875171285170446
ACH-000017,SK-BR-3,Breast,Invasive Breast Carcinoma,-0.10282567894904023
ACH-000018,T24,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,-0.3975706504573698
ACH-000019,MCF7,Breast,Invasive Breast Carcinoma,0.015591736785709059
ACH-000021,NCI-H1693,Lung,Non-Small Cell Lung Cancer,0.12458915508038071
ACH-000022,PA-TU-8988S,Pancreas,Pancreatic Adenocarcinoma,-0.02911492006394962
ACH-000023,PA-TU-8988T,Pancreas,Pancreatic Adenocarcinoma,-0.0035659060989923115
ACH-000024,OPM-2,Lymphoid,Mature B-Cell Neoplasms,0.018526040451265293
ACH-000025,CH-157MN,CNS/Brain,Meningothelial Tumor,0.08389078922442544
ACH-000026,253J-BV,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,0.2884139543207408
ACH-000028,KPL-1,Breast,Invasive Breast Carcinoma,-0.08100341041160354
ACH-000029,HCC-827-GR5,Lung,Non-Small Cell Lung Cancer,-0.04611390642717493
ACH-000030,PC-14,Lung,Non-Small Cell Lung Cancer,-0.12323551838846435
ACH-000035,NCI-H1650,Lung,Non-Small Cell Lung Cancer,0.10994468170695276
ACH-000036,U343,CNS/Brain,Diffuse Glioma,-0.2539799758764597
ACH-000037,S-117,Soft Tissue,"Sarcoma, NOS",-0.2072788920347808
ACH-000039,SK-N-MC,Bone,Ewing Sarcoma,-0.21128706898600275
ACH-000040,U-118 MG,CNS/Brain,Diffuse Glioma,-0.17085429126308635
ACH-000041,RD-ES,Bone,Ewing Sarcoma,0.18139143528187085
ACH-000042,Panc 02.03,Pancreas,Pancreatic Adenocarcinoma,-0.04177998538785142
ACH-000045,MV4-11,Myeloid,Acute Myeloid Leukemia,0.14571801996920458
ACH-000047,GCIY,Esophagus/Stomach,Esophagogastric Adenocarcinoma,0.038755437656338085
ACH-000048,TOV-112D,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.17933912542813016
ACH-000052,A-673,Bone,Ewing Sarcoma,-0.017665615377509
ACH-000053,KARPAS-299,Lymphoid,Mature T and NK Neoplasms,-0.09744900671482876
ACH-000054,HT-1080,Soft Tissue,Fibrosarcoma,-0.01115983241747664
ACH-000055,D283 Med,CNS/Brain,Embryonal Tumor,-0.08328964409003023
ACH-000060,Panc 10.05,Pancreas,Pancreatic Adenocarcinoma,0.03972832819367389
ACH-000067,Hs 683,CNS/Brain,Diffuse Glioma,-0.19772775702115242
ACH-000070,697,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,-0.2054255717832121
ACH-000074,KU812,Myeloid,Myeloproliferative Neoplasms,0.05666211463966618
ACH-000075,U-87 MG,CNS/Brain,Diffuse Glioma,-0.10236332588346622
ACH-000076,NCO2,Myeloid,Myeloproliferative Neoplasms,0.0650356103946916
ACH-000077,MJ,Lymphoid,Non-Hodgkin Lymphoma,0.05095227550228022
ACH-000078,MHH-NB-11,Peripheral Nervous System,Neuroblastoma,-0.08537737351073502
ACH-000082,"G-292, clone A141B1",Bone,Osteosarcoma,-0.08857815780736081
ACH-000085,T3M-4,Pancreas,Pancreatic Adenocarcinoma,0.17521198967043833
ACH-000086,ACC-MESO-1,Pleura,Pleural Mesothelioma,-0.0799844924811621
ACH-000087,SK-ES-1,Bone,Ewing Sarcoma,-0.17808895102984193
ACH-000090,PC-3,Prostate,Prostate Adenocarcinoma,-0.12431240732963093
ACH-000092,NCI-H2452,Pleura,Pleural Mesothelioma,-0.03221495630736687
ACH-000093,Panc 05.04,Pancreas,Pancreatic Adenocarcinoma,0.11498515154759811
ACH-000094,HPAF-II,Pancreas,Pancreatic Adenocarcinoma,-0.1722929608005018
ACH-000095,D341 Med,CNS/Brain,Embryonal Tumor,-0.0692147730666994
ACH-000096,G-401,Kidney,Rhabdoid Cancer,0.1748383737953149
ACH-000097,ZR-75-1,Breast,Invasive Breast Carcinoma,-0.07250277074035913
ACH-000098,GAMG,CNS/Brain,Diffuse Glioma,-0.06378554597163857
ACH-000099,SIMA,Peripheral Nervous System,Neuroblastoma,-0.05651128528120507
ACH-000100,RH-41,Soft Tissue,Rhabdomyosarcoma,-0.11701225486594036
ACH-000101,KE-37,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,-0.23112728836230936
ACH-000103,Caov-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.026632076852681676
ACH-000106,JVM-2,Lymphoid,Mature B-Cell Neoplasms,-0.004163175401593874
ACH-000108,KP-3,Pancreas,Adenosquamous Carcinoma of the Pancreas,-0.09029544297840698
ACH-000111,HCC1187,Breast,Invasive Breast Carcinoma,-0.04852549604117688
ACH-000113,OCI-AML2,Myeloid,Acute Myeloid Leukemia,0.05288743609021623
ACH-000114,SU.86.86,Pancreas,Pancreatic Adenocarcinoma,-0.08142221249858116
ACH-000115,VCaP,Prostate,Prostate Adenocarcinoma,-0.18241427558728018
ACH-000116,OAW28,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.015074403241953778
ACH-000118,HUP-T3,Pancreas,Pancreatic Adenocarcinoma,0.02879422082133822
ACH-000120,CHP-212,Peripheral Nervous System,Neuroblastoma,-0.03924437866118946
ACH-000123,COV434,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.03525366461001391
ACH-000124,OCI-LY-19,Lymphoid,Mature B-Cell Neoplasms,-0.10250403247729648
ACH-000127,SLR 20,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,0.002446281499415056
ACH-000128,LN-319,CNS/Brain,Diffuse Glioma,-0.016174574729210925
ACH-000132,JHOS-2,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.00859821738458952
ACH-000133,Hs 729,Fibroblast,Non-Cancerous,-0.007206064168019281
ACH-000137,8-MG-BA,CNS/Brain,Diffuse Glioma,-0.12747364325586621
ACH-000138,CFPAC-1,Pancreas,Pancreatic Adenocarcinoma,0.021015329676547092
ACH-000139,Panc 03.27,Pancreas,Pancreatic Adenocarcinoma,0.003283300223717329
ACH-000141,SNU-308,Biliary Tract,Intracholecystic Papillary Neoplasm,-0.09298782804462842
ACH-000142,CAL-29,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,-0.04903146876643884
ACH-000143,HCC2429,Lung,Non-Small Cell Lung Cancer,0.01920323738250263
ACH-000144,RERF-GC-1B,Esophagus/Stomach,Esophagogastric Adenocarcinoma,0.010244379903949902
ACH-000145,SK-LMS-1,Soft Tissue,Leiomyosarcoma,0.025375231607307046
ACH-000146,THP-1,Myeloid,Acute Myeloid Leukemia,-0.09587095660778185
ACH-000147,T-47D,Breast,Invasive Breast Carcinoma,0.1372006484547589
ACH-000148,Hs 578T,Breast,Invasive Breast Carcinoma,-0.10861624258651817
ACH-000149,SK-N-SH,Peripheral Nervous System,Neuroblastoma,-0.19464801352235106
ACH-000151,JM1,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,-0.07352658374666572
ACH-000152,M059K,CNS/Brain,Diffuse Glioma,-0.06456312405125363
ACH-000153,NCI-H2052,Pleura,Pleural Mesothelioma,-0.08680520808501507
ACH-000155,SW 1990,Pancreas,Pancreatic Adenocarcinoma,0.011021008468086773
ACH-000159,OS-RC-2,Kidney,Renal Cell Carcinoma,0.03184674889054345
ACH-000160,BT-12,CNS/Brain,Embryonal Tumor,0.12887339617911037
ACH-000161,COR-L105,Lung,Non-Small Cell Lung Cancer,0.11601357740882237
ACH-000163,SW579,Head and Neck,Head and Neck Squamous Cell Carcinoma,0.06773556146427727
ACH-000164,PANC-1,Pancreas,Pancreatic Adenocarcinoma,-0.022881615622611654
ACH-000167,KE-97,Lymphoid,Mature B-Cell Neoplasms,0.11274642343199923
ACH-000168,NOMO-1,Myeloid,Acute Myeloid Leukemia,0.09263486744541176
ACH-000169,RD,Soft Tissue,Rhabdomyosarcoma,-0.23690680368410588
ACH-000172,TM-87,Soft Tissue,Rhabdoid Cancer,0.19149401657820006
ACH-000174,CAL-62,Thyroid,Anaplastic Thyroid Cancer,-0.0699201846706502
ACH-000176,LOU-NH91,Lung,Non-Small Cell Lung Cancer,-0.1524083595009924
ACH-000178,Hs 766T,Pancreas,Pancreatic Adenocarcinoma,0.104784066815749
ACH-000181,SCC-9,Head and Neck,Head and Neck Squamous Cell Carcinoma,0.03853375401180144
ACH-000182,SNU-869,Ampulla of Vater,Ampullary Carcinoma,-0.09905451043780389
ACH-000183,L-363,Lymphoid,Mature B-Cell Neoplasms,-0.13345911455950077
ACH-000187,COR-L311,Lung,Lung Neuroendocrine Tumor,0.03984660019647113
ACH-000188,SCC-25,Head and Neck,Head and Neck Squamous Cell Carcinoma,0.05865936074319683
ACH-000189,RCC10RGB,Kidney,Renal Cell Carcinoma,0.12350685520328758
ACH-000190,HD-MY-Z,Myeloid,Acute Myeloid Leukemia,0.00819818381221216
ACH-000191,BHT-101,Thyroid,Anaplastic Thyroid Cancer,0.18749167568276767
ACH-000192,MFE-280,Uterus,Endometrial Carcinoma,-0.20556437498261704
ACH-000195,Set-2,Myeloid,Acute Myeloid Leukemia,0.2211733083987168
ACH-000198,EOL-1,Myeloid,Acute Myeloid Leukemia,0.07150301492443374
ACH-000200,NMC-G1,CNS/Brain,Diffuse Glioma,-0.09495087426964982
ACH-000202,COLO-320,Bowel,Colorectal Adenocarcinoma,0.08160576514586557
ACH-000203,NH-6,Peripheral Nervous System,Neuroblastoma,-0.17943007026313432
ACH-000204,LP-1,Lymphoid,Mature B-Cell Neoplasms,-0.10199868323041045
ACH-000206,C8166,Lymphoid,Non-Cancerous,-0.3103844739167404
ACH-000207,Detroit 562,Head and Neck,Head and Neck Squamous Cell Carcinoma,-0.007350945260369928
ACH-000208,U-178,CNS/Brain,Diffuse Glioma,0.0059832836387484385
ACH-000209,SNU-1079,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,-0.13520361098248412
ACH-000210,CADO-ES1,Bone,Ewing Sarcoma,-0.16412950056263173
ACH-000211,Daoy,CNS/Brain,Embryonal Tumor,-0.12141186595459177
ACH-000212,CAL-120,Breast,Invasive Breast Carcinoma,0.03220533647350096
ACH-000213,HUP-T4,Pancreas,Pancreatic Adenocarcinoma,0.06839402530744308
ACH-000215,LN382,CNS/Brain,Diffuse Glioma,-0.11731214061839122
ACH-000216,JH-EsoAd1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,-0.020513858226301692
ACH-000217,JHH-6,Liver,Hepatocellular Carcinoma,-0.2268251702754998
ACH-000219,A-375,Skin,Melanoma,0.03295658923217305
ACH-000221,SNU-398,Liver,Hepatocellular Carcinoma,0.13879570444035869
ACH-000222,AsPC-1,Pancreas,Pancreatic Adenocarcinoma,-0.039061501624451773
ACH-000223,HCC1937,Breast,Invasive Breast Carcinoma,-0.16006402565837227
ACH-000226,SUP-M2,Lymphoid,Mature T and NK Neoplasms,-0.15007019360766777
ACH-000227,KP-N-YN,Peripheral Nervous System,Neuroblastoma,-0.25060917304218316
ACH-000228,BICR 31,Head and Neck,Head and Neck Squamous Cell Carcinoma,-0.23261205790422002
ACH-000231,KALS-1,CNS/Brain,Diffuse Glioma,-0.13654883834258583
ACH-000232,U-251 MG,CNS/Brain,Diffuse Glioma,0.049871871702094395
ACH-000233,DEL,Lymphoid,Mature T and NK Neoplasms,0.04519861401695456
ACH-000234,Caki-2,Kidney,Renal Cell Carcinoma,0.035127382735513496
ACH-000235,Panc 04.03,Pancreas,Pancreatic Adenocarcinoma,0.04382089249791407
ACH-000237,JHOM-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.061049577290211654
ACH-000238,SCC-4,Head and Neck,Head and Neck Squamous Cell Carcinoma,-0.0810533006061405
ACH-000239,HuG1-N,Esophagus/Stomach,Esophagogastric Adenocarcinoma,-0.23695353332148145
ACH-000242,RT4,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,0.062641644042777
ACH-000243,DAN-G,Pancreas,Pancreatic Adenocarcinoma,-0.08501954999153286
ACH-000244,DK-MG,CNS/Brain,Diffuse Glioma,0.10298662098741482
ACH-000246,SLR 23,Kidney,Renal Cell Carcinoma,0.031636062323445915
ACH-000247,OCUM-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,0.20733589644115025
ACH-000248,AU565,Breast,Invasive Breast Carcinoma,-0.18326233147263318
ACH-000249,CL-11,Bowel,Colorectal Adenocarcinoma,0.004779183796178161
ACH-000250,KMRC-20,Kidney,Renal Cell Carcinoma,-0.09050095106713014
ACH-000251,NCI-H2887,Lung,Non-Small Cell Lung Cancer,0.015440507426083109
ACH-000252,LS1034,Bowel,Colorectal Adenocarcinoma,-0.08850912611244006
ACH-000253,COLO 201,Bowel,Colorectal Adenocarcinoma,-0.06999854375777545
ACH-000255,LMSU,Esophagus/Stomach,Esophagogastric Adenocarcinoma,-0.18110633522713188
ACH-000256,COV318,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.07337744599471326
ACH-000257,COR-L279,Lung,Lung Neuroendocrine Tumor,0.19975844590661165
ACH-000258,Du4475,Breast,Invasive Breast Carcinoma,0.17927605420757278
ACH-000259,KELLY,Peripheral Nervous System,Neuroblastoma,-0.06028820210790267
ACH-000260,SK-N-AS,Peripheral Nervous System,Neuroblastoma,-0.1113285787592288
ACH-000261,RERF-LC-AI,Lung,Non-Small Cell Lung Cancer,0.3241540674254108
ACH-000262,UOK101,Kidney,Renal Cell Carcinoma,-0.15196719850949636
ACH-000263,KASUMI-1,Myeloid,Acute Myeloid Leukemia,-0.18743712652731365
ACH-000264,Calu-6,Lung,Non-Small Cell Lung Cancer,-0.15685344973323295
ACH-000265,KP-4,Pancreas,Pancreatic Adenocarcinoma,-0.08401250784307529
ACH-000266,SNU-213,Pancreas,Pancreatic Adenocarcinoma,-0.12248823389897034
ACH-000268,SNU-245,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,0.042119468576512775
ACH-000269,AM-38,CNS/Brain,Diffuse Glioma,-0.11274544731151649
ACH-000271,SU-DHL-10,Lymphoid,Mature B-Cell Neoplasms,-0.03927689559935946
ACH-000272,SLR 24,Kidney,Renal Cell Carcinoma,0.14381615972952
ACH-000273,SF539,CNS/Brain,Diffuse Glioma,0.01652866727173893
ACH-000274,Hs 852.T,Skin,Melanoma,-0.09523951848166996
ACH-000276,HCC38,Breast,Invasive Breast Carcinoma,0.06994075021696579
ACH-000277,HCC1419,Breast,Invasive Breast Carcinoma,-0.2480806902830794
ACH-000278,COV362,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.11682364314304845
ACH-000279,EWS502,Bone,Ewing Sarcoma,0.009952209413826161
ACH-000280,SNU-840,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.4325454537925545
ACH-000281,KP-2,Pancreas,Pancreatic Adenocarcinoma,0.10581120459165017
ACH-000286,SNU-1033,Bowel,Colorectal Adenocarcinoma,-0.11631473936406603
ACH-000288,BT-549,Breast,Invasive Breast Carcinoma,0.03900908842045417
ACH-000290,NCI-H209,Lung,Lung Neuroendocrine Tumor,-0.11584867390123933
ACH-000291,OV-90,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.036032914528420376
ACH-000292,NCI-H841,Lung,SMARCA4-deficient undifferentiated tumor,-0.03817540849969203
ACH-000293,KLE,Uterus,Endometrial Carcinoma,0.011874133465515236
ACH-000294,NB-4,Myeloid,Acute Myeloid Leukemia,-0.15087752778236624
ACH-000295,EM-2,Myeloid,Myeloproliferative Neoplasms,0.17892573110615534
ACH-000296,OUMS-23,Bowel,Colorectal Adenocarcinoma,-0.026702850261055164
ACH-000302,SNU-1077,Uterus,Endometrial Carcinoma,-0.120691993347269
ACH-000303,SNU-5,Esophagus/Stomach,Esophagogastric Adenocarcinoma,0.262016657822508
ACH-000304,WM-115,Skin,Melanoma,-0.04401620858265133
ACH-000305,EC-GI-10,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,-0.01387216919202069
ACH-000307,PK-1,Pancreas,Pancreatic Adenocarcinoma,-0.16182028986538485
ACH-000308,EFO-21,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,0.011913734651345386
ACH-000310,IMR-32,Peripheral Nervous System,Neuroblastoma,-0.30915876070629394
ACH-000311,NCI-H2122,Lung,Non-Small Cell Lung Cancer,0.042940066179724914
ACH-000312,SK-N-BE(2),Peripheral Nervous System,Neuroblastoma,-0.021639418775538606
ACH-000313,KMRC-3,Kidney,Renal Cell Carcinoma,0.14917319137989427
ACH-000315,KARPAS-422,Lymphoid,Mature B-Cell Neoplasms,-0.010644031636000315
ACH-000316,SNU-886,Liver,Hepatocellular Carcinoma,0.2173452254965724
ACH-000317,TUHR14TKB,Kidney,Renal Cell Carcinoma,-0.03192006652153939
ACH-000318,TE-10,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,-0.13346403407196053
ACH-000319,MPP 89,Pleura,Pleural Mesothelioma,-0.20631689762347669
ACH-000320,PSN1,Pancreas,Pancreatic Adenocarcinoma,-0.08859506564786325
ACH-000322,HT-144,Skin,Melanoma,0.024855827171888795
ACH-000323,42-MG-BA,CNS/Brain,Diffuse Glioma,-0.15842468569565749
ACH-000324,JHOC-5,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.005337376977453626
ACH-000325,SNU-620,Esophagus/Stomach,Esophagogastric Adenocarcinoma,0.05028630588685695
ACH-000326,JURL-MK1,Myeloid,Myeloproliferative Neoplasms,0.13083927140098636
ACH-000329,CCF-STTG1,CNS/Brain,Diffuse Glioma,-0.037682101325691504
ACH-000330,EFM-19,Breast,Invasive Breast Carcinoma,0.006891312031197687
ACH-000331,IST-MES2,Pleura,Pleural Mesothelioma,-0.08533344427141111
ACH-000332,YAPC,Pancreas,Pancreatic Adenocarcinoma,0.0693395300205739
ACH-000334,DB,Lymphoid,Mature B-Cell Neoplasms,-0.057929282562169754
ACH-000335,MSTO-211H,Pleura,Pleural Mesothelioma,-0.03419752874457787
ACH-000336,OCI-AML3,Myeloid,Acute Myeloid Leukemia,-0.11889186330772496
ACH-000337,NCI-H3122,Lung,Non-Small Cell Lung Cancer,-0.07129196913623463
ACH-000338,SR-786,Lymphoid,Mature T and NK Neoplasms,0.286967382660485
ACH-000339,HCC-461,Lung,Non-Small Cell Lung Cancer,-0.0026804867144688584
ACH-000341,SK-N-FI,Peripheral Nervous System,Neuroblastoma,-0.10361897468649683
ACH-000343,NCI-H522,Lung,Non-Small Cell Lung Cancer,0.05836430102650088
ACH-000344,SNU-668,Esophagus/Stomach,Esophagogastric Adenocarcinoma,0.04108067478202558
ACH-000345,KP-N-RT-BM-1,Peripheral Nervous System,Neuroblastoma,0.7345713481537083
ACH-000346,JVM-3,Lymphoid,Mature B-Cell Neoplasms,0.33781708950213685
ACH-000348,RPMI-7951,Skin,Melanoma,0.07738421338987181
ACH-000350,COLO-678,Bowel,Colorectal Adenocarcinoma,-0.027837027407247708
ACH-000352,HCC1428,Breast,Invasive Breast Carcinoma,0.07934726194291564
ACH-000354,Capan-1,Pancreas,Pancreatic Adenocarcinoma,-0.12739937285445957
ACH-000355,NCI-H82,Lung,Lung Neuroendocrine Tumor,0.1498943067791482
ACH-000356,MKN-45,Esophagus/Stomach,Esophagogastric Adenocarcinoma,-0.07578014190303754
ACH-000359,MG-63,Bone,Osteosarcoma,0.043005999239676754
ACH-000361,SK-HEP-1,Liver,Hepatocellular Carcinoma,-0.13679510724333313
ACH-000362,MOLM-13,Myeloid,Acute Myeloid Leukemia,-0.06609872715755291
ACH-000363,SK-MM-2,Lymphoid,Mature B-Cell Neoplasms,0.026624176574812485
ACH-000364,U-2 OS,Bone,Osteosarcoma,-0.023186517146092246
ACH-000365,SU-DHL-4,Lymphoid,Mature B-Cell Neoplasms,-0.026562024508384834
ACH-000366,SK-N-DZ,Peripheral Nervous System,Neuroblastoma,-0.17427451556201154
ACH-000367,NCI-H226,Pleura,Pleural Mesothelioma,-0.08301129796329015
ACH-000368,SNU-1105,CNS/Brain,Diffuse Glioma,-0.03422509762488952
ACH-000370,SNU-626,CNS/Brain,Diffuse Glioma,-0.18564795285706007
ACH-000371,RL,Lymphoid,Mature B-Cell Neoplasms,-0.25652287609151514
ACH-000373,SKM-1,Myeloid,Acute Myeloid Leukemia,0.1128837032933192
ACH-000374,HCC1143,Breast,Invasive Breast Carcinoma,0.006244750417173418
ACH-000375,G-402,Kidney,Rhabdoid Cancer,0.2734852458903711
ACH-000376,SF-295,CNS/Brain,Diffuse Glioma,-0.11302463843791202
ACH-000377,SNU-478,Ampulla of Vater,Ampullary Carcinoma,0.012482184995293546
ACH-000378,NCI-H647,Lung,Non-Small Cell Lung Cancer,0.02091006987382862
ACH-000381,T84,Bowel,Colorectal Adenocarcinoma,-0.009901410187227486
ACH-000383,OE33,Esophagus/Stomach,Esophagogastric Adenocarcinoma,-0.04241835027884745
ACH-000385,SK-RC-52,Kidney,Renal Cell Carcinoma,-0.03287992539858382
ACH-000387,TF-1,Myeloid,Acute Myeloid Leukemia,-0.11922804900848746
ACH-000389,H4,CNS/Brain,Diffuse Glioma,-0.3880003584727274
ACH-000390,LUDLU-1,Lung,Non-Small Cell Lung Cancer,-0.10607333685339805
ACH-000391,MHH-ES-1,Bone,Ewing Sarcoma,-0.03307424972691273
ACH-000393,HLF,Liver,Hepatocellular Carcinoma,-0.04034472983619242
ACH-000395,NCI-H520,Lung,Non-Small Cell Lung Cancer,-0.03213639407057262
ACH-000396,J82,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,-0.20171628391577037
ACH-000397,TEN,Uterus,Endometrial Carcinoma,0.03836617523505029
ACH-000398,RI-1,Lymphoid,Mature B-Cell Neoplasms,0.15628170725362953
ACH-000401,COLO-800,Skin,Melanoma,-0.023599732162879077
ACH-000402,BL-70,Lymphoid,Mature B-Cell Neoplasms,-0.1112625617419873
ACH-000403,NCI-H747,Bowel,Colorectal Adenocarcinoma,-0.09216382426808555
ACH-000404,K029AX,Skin,Melanoma,-0.18335482357416696
ACH-000405,MEC-1,Lymphoid,Mature B-Cell Neoplasms,-0.005908222217038388
ACH-000406,U-937,Myeloid,Acute Myeloid Leukemia,-0.01832337063797905
ACH-000407,SNU-685,Uterus,Endometrial Carcinoma,-0.15742251629068024
ACH-000408,TE-5,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,-0.04476548455167442
ACH-000410,Saos-2,Bone,Osteosarcoma,-0.07063564800266167
ACH-000411,769-P,Kidney,Renal Cell Carcinoma,-0.16610493369615278
ACH-000414,NCI-H1944,Lung,Non-Small Cell Lung Cancer,-0.06120925979044595
ACH-000415,BICR 6,Head and Neck,Head and Neck Squamous Cell Carcinoma,-0.1614143558754482
ACH-000416,NCI-H838,Lung,Non-Small Cell Lung Cancer,0.014623187443873389
ACH-000417,Panc 08.13,Pancreas,Pancreatic Adenocarcinoma,0.06050358554559658
ACH-000420,SNU-449,Liver,Hepatocellular Carcinoma,0.06290807163997067
ACH-000421,SW837,Bowel,Colorectal Adenocarcinoma,0.05315420187200727
ACH-000422,SNU-475,Liver,Hepatocellular Carcinoma,0.11086799325183885
ACH-000424,TC-71,Bone,Ewing Sarcoma,-0.0038125455220291045
ACH-000425,UACC-62,Skin,Melanoma,-0.014266500545738357
ACH-000426,KMS-20,Lymphoid,Mature B-Cell Neoplasms,-0.0006543056862399858
ACH-000427,NCI-N87,Esophagus/Stomach,Esophagogastric Adenocarcinoma,0.027993741224759953
ACH-000430,TYK-nu,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.09161535671217312
ACH-000431,NCI-H1694,Lung,Lung Neuroendocrine Tumor,-0.11504571386062266
ACH-000433,Caki-1,Kidney,Renal Cell Carcinoma,-0.27730518657120734
ACH-000434,NCI-H1915,Lung,Non-Small Cell Lung Cancer,-0.28905615649067745
ACH-000435,EFE-184,Uterus,Endometrial Carcinoma,-0.277581790576294
ACH-000436,OCI-My7,Lymphoid,Mature B-Cell Neoplasms,0.17814306208901665
ACH-000437,SW 1088,CNS/Brain,Diffuse Glioma,0.030682380938506625
ACH-000438,Lu-65,Lung,Non-Small Cell Lung Cancer,-0.027230630326671543
ACH-000441,SH-4,Skin,Melanoma,0.009383276542897955
ACH-000442,RERF-LC-Sq1,Lung,Non-Small Cell Lung Cancer,-0.11273923386666702
ACH-000444,LU99,Lung,Non-Small Cell Lung Cancer,-0.1931481954101195
ACH-000445,KNS-60,CNS/Brain,Diffuse Glioma,-0.11628683138610195
ACH-000446,KP-N-SI9s,Peripheral Nervous System,Neuroblastoma,-0.10983631844351835
ACH-000448,NCI-H1666,Lung,Non-Small Cell Lung Cancer,-0.08517665666888752
ACH-000450,MEL-HO,Skin,Melanoma,0.1620240745991036
ACH-000452,TE-8,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,0.0026627556742056767
ACH-000454,HCC-95,Lung,Non-Small Cell Lung Cancer,-0.09123759682006478
ACH-000455,LN-428,CNS/Brain,Diffuse Glioma,0.010184492706957687
ACH-000456,B-CPAP,Thyroid,Poorly Differentiated Thyroid Cancer,-0.006698036558345406
ACH-000458,CJM,Skin,Melanoma,-0.03440187284960856
ACH-000459,TUHR10TKB,Kidney,Renal Cell Carcinoma,-0.21640975232289258
