model_id,cell_line_name,lineage,primary_disease,gene_effect
ACH-000460,SNU-8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.07226412340205991
ACH-000461,SNU-1196,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,0.05723046663231621
ACH-000463,NCI-H460,Lung,Non-Small Cell Lung Cancer,0.2070968318881794
ACH-000464,CAS-1,CNS/Brain,Diffuse Glioma,-0.11749339085300961
ACH-000466,SNU-216,Esophagus/Stomach,Esophagogastric Adenocarcinoma,-0.14570858233556128
ACH-000467,HCC-56,Bowel,Colorectal Adenocarcinoma,0.09213979080653281
ACH-000468,PK-45H,Pancreas,Pancreatic Adenocarcinoma,-0.0025746514355294257
ACH-000469,YH-13,CNS/Brain,Diffuse Glioma,0.051182723251022064
ACH-000470,SW1463,Bowel,Colorectal Adenocarcinoma,0.0663464751538446
ACH-000471,Li-7,Liver,Hepatocellular Carcinoma,0.021489791000094478
ACH-000472,HSC-2,Head and Neck,Head and Neck Squamous Cell Carcinoma,-0.04757900556754578
ACH-000473,RT-112,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,-0.11280447373098779
ACH-000475,huH-1,Liver,Hepatocellular Carcinoma,-0.013737585628549891
ACH-000476,JHH-4,Liver,Hepatocellular Carcinoma,-0.22267930386963433
ACH-000477,Malme-3M,Skin,Melanoma,-0.2614030158811731
ACH-000478,SNU-387,Liver,Hepatocellular Carcinoma,0.002856007211638624
ACH-000479,KNS-81,CNS/Brain,Diffuse Glioma,-0.2606327824964832
ACH-000480,HuH-7,Liver,Hepatocellular Carcinoma,0.020647058192305796
ACH-000481,NCI-H2170,Lung,Non-Small Cell Lung Cancer,-0.052558874528461835
ACH-000483,SNU-182,Liver,Hepatocellular Carcinoma,-0.04371101983584094
ACH-000484,VMRC-RCW,Kidney,Renal Cell Carcinoma,-0.4746080729743587
ACH-000485,GSU,Esophagus/Stomach,Esophagogastric Adenocarcinoma,-0.11507377289382384
ACH-000486,KU-19-19,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,0.02071521033135362
ACH-000487,F-36P,Myeloid,Acute Myeloid Leukemia,0.03947246748114806
ACH-000488,TE-11,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,0.060584800781387046
ACH-000489,SW1116,Bowel,Colorectal Adenocarcinoma,0.0874785231002913
ACH-000490,SF767,Cervix,Cervical Squamous Cell Carcinoma,0.009740268775853465
ACH-000491,NCI-H716,Bowel,Colorectal Adenocarcinoma,0.053085390189769224
ACH-000493,SNU-423,Liver,Hepatocellular Carcinoma,-0.016453189503106605
ACH-000495,TUHR4TKB,Kidney,Renal Cell Carcinoma,-0.0336405205620855
ACH-000496,NCI-H1792,Lung,Non-Small Cell Lung Cancer,0.12152361949341348
ACH-000498,KO52,Myeloid,Acute Myeloid Leukemia,-0.1911483903663344
ACH-000499,EW8,Bone,Ewing Sarcoma,-0.30286226529974924
ACH-000500,SNU-46,Head and Neck,Head and Neck Squamous Cell Carcinoma,-0.1309824864166887
ACH-000501,LS123,Bowel,Colorectal Adenocarcinoma,0.23346213860928747
ACH-000502,TCC-PAN2,Pancreas,Pancreatic Adenocarcinoma,0.024980060270229
ACH-000503,BICR 16,Head and Neck,Head and Neck Squamous Cell Carcinoma,-0.007445923298121323
ACH-000504,SNB75,CNS/Brain,Diffuse Glioma,-0.04866329889956017
ACH-000505,RKN,Soft Tissue,Leiomyosarcoma,-0.08352450731203807
ACH-000507,KE-39,Esophagus/Stomach,Esophagogastric Adenocarcinoma,0.008419532322641875
ACH-000510,NCI-H1299,Lung,Non-Small Cell Lung Cancer,-0.030210085350490093
ACH-000511,Calu-1,Lung,Non-Small Cell Lung Cancer,-0.11033582501028627
ACH-000512,INA6,Lymphoid,Mature B-Cell Neoplasms,0.06252347264377146
ACH-000514,NCI-H1092,Lung,Lung Neuroendocrine Tumor,0.06389437588690097
ACH-000515,HCC-33,Lung,Lung Neuroendocrine Tumor,0.3898975840823879
ACH-000516,CAL-78,Bone,Chondrosarcoma,-0.23901915274895777
ACH-000517,SNU-410,Pancreas,Pancreatic Adenocarcinoma,-0.21441460218595038
ACH-000518,CAL-33,Head and Neck,Head and Neck Squamous Cell Carcinoma,-0.02153502938145919
ACH-000519,PEER,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,-0.07991132317639689
ACH-000520,59M,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.014041241915893262
ACH-000521,NCI-H2030,Lung,Non-Small Cell Lung Cancer,0.05248115106075199
ACH-000522,UM-UC-3,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,-0.05466249112646318
ACH-000524,KURAMOCHI,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,0.02027272282610793
ACH-000525,NCI-H2171,Lung,Lung Neuroendocrine Tumor,-0.013558825982312428
ACH-000527,OVISE,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.005380783574553242
ACH-000528,ABC-1,Lung,Non-Small Cell Lung Cancer,-0.03216370585693853
ACH-000532,SNU-61,Bowel,Colorectal Adenocarcinoma,0.29275109472749233
ACH-000533,NCI-H2004 RT,Kidney,Rhabdoid Cancer,0.26997104208990663
ACH-000535,BxPC-3,Pancreas,Pancreatic Adenocarcinoma,-0.1688392579130323
ACH-000537,SNU-761,Liver,Hepatocellular Carcinoma,0.10458193089704676
ACH-000541,KMS-34,Lymphoid,Mature B-Cell Neoplasms,0.10314937735751994
ACH-000542,Hey-A8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.13688084403052758
ACH-000544,OE21,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,0.028440581815789494
ACH-000545,VM-CUB1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,-0.039589691525519916
ACH-000546,HSC-4,Head and Neck,Head and Neck Squamous Cell Carcinoma,0.20067453237677063
ACH-000547,HT-1197,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,-0.01747654745439734
ACH-000548,BHY,Head and Neck,Head and Neck Squamous Cell Carcinoma,-0.12612013237639524
ACH-000549,SNU-1076,Head and Neck,Head and Neck Squamous Cell Carcinoma,-0.08909466028153763
ACH-000550,IGR-39,Skin,Melanoma,-0.10590923379502012
ACH-000551,K-562,Myeloid,Myeloproliferative Neoplasms,-0.06427615161630859
ACH-000552,HT-29,Bowel,Colorectal Adenocarcinoma,-0.18006832927806762
ACH-000554,UACC-893,Breast,Invasive Breast Carcinoma,-0.035790804199899294
ACH-000556,SIHA,Cervix,Cervical Squamous Cell Carcinoma,0.054399616669712325
ACH-000557,AML-193,Myeloid,Acute Myeloid Leukemia,-0.05528765388106295
ACH-000558,A-172,CNS/Brain,Diffuse Glioma,-0.2358586170429017
ACH-000559,NCI-H1836,Lung,Lung Neuroendocrine Tumor,0.03840640873826172
ACH-000561,T.T,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,-0.10938251741251627
ACH-000562,HCC-78,Lung,Non-Small Cell Lung Cancer,-0.001814703966722283
ACH-000563,EBC-1,Lung,Non-Small Cell Lung Cancer,0.05892737967842017
ACH-000565,RCM-1,Bowel,Colorectal Adenocarcinoma,-0.10202271966627183
ACH-000567,ST486,Lymphoid,Mature B-Cell Neoplasms,0.017626153381702443
ACH-000569,IST-MES1,Pleura,Pleural Mesothelioma,0.18347271932837347
ACH-000570,YKG1,CNS/Brain,Diffuse Glioma,-0.15591522239799635
ACH-000571,T98G,CNS/Brain,Diffuse Glioma,-0.09001679915534803
ACH-000573,MDA-MB-436,Breast,Invasive Breast Carcinoma,-0.038224271259058265
ACH-000576,KMS-27,Lymphoid,Mature B-Cell Neoplasms,0.10462509673701667
ACH-000577,JHH-2,Liver,Hepatocellular Carcinoma,-0.13771463570981224
ACH-000579,UACC-257,Skin,Melanoma,0.020415582937201113
ACH-000580,C32,Skin,Melanoma,-0.04760321004381514
ACH-000581,SNU-16,Esophagus/Stomach,Esophagogastric Adenocarcinoma,-0.017015955840211136
ACH-000583,MC116,Lymphoid,Non-Hodgkin Lymphoma,-0.1354863319044878
ACH-000584,JHOS-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.04411996511060417
ACH-000585,EPLC-272H,Lung,Non-Small Cell Lung Cancer,-0.081133463615036
ACH-000587,NCI-H1975,Lung,Non-Small Cell Lung Cancer,-0.060001161037856354
ACH-000588,KMS-26,Lymphoid,Mature B-Cell Neoplasms,-0.01657376916178905
ACH-000589,NCI-H1437,Lung,Non-Small Cell Lung Cancer,0.0012814328191534628
ACH-000591,LN-235,CNS/Brain,Diffuse Glioma,-0.21609921575150084
ACH-000592,TM-31,CNS/Brain,Diffuse Glioma,-0.2065627279197528
ACH-000593,BC-3C,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,-0.15923420903734492
ACH-000595,LN-229,CNS/Brain,Diffuse Glioma,0.03982648531930483
ACH-000596,LCLC-97TM1,Lung,Non-Small Cell Lung Cancer,-0.05542135657754295
ACH-000597,TTC-709,Soft Tissue,Rhabdoid Cancer,0.14763110361825002
ACH-000599,PA-TU-8902,Pancreas,Pancreatic Adenocarcinoma,-0.05611365242298853
ACH-000601,MIA PaCa-2,Pancreas,Pancreatic Adenocarcinoma,0.05465312346078538
ACH-000602,M-07e,Myeloid,Acute Myeloid Leukemia,-0.007860461306868512
ACH-000604,KYO-1,Myeloid,Myeloproliferative Neoplasms,0.13123183552675827
ACH-000605,TE-6,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,-0.24575504763174963
ACH-000606,PE/CA-PJ34 (clone C12),Head and Neck,Head and Neck Squamous Cell Carcinoma,0.10522521205816868
ACH-000607,KYM-1,Kidney,Rhabdoid Cancer,-0.1884067559930106
ACH-000608,COV644,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.06071433479709526
ACH-000609,SF126,CNS/Brain,Diffuse Glioma,0.006351033504875026
ACH-000614,RVH-421,Skin,Melanoma,0.20322751070876724
ACH-000616,Hs 746T,Esophagus/Stomach,Esophagogastric Adenocarcinoma,-0.08686156556549517
ACH-000618,SNU-1041,Head and Neck,Head and Neck Squamous Cell Carcinoma,0.016550334749186244
ACH-000619,PE/CA-PJ15,Head and Neck,Head and Neck Squamous Cell Carcinoma,-0.007195726273676071
ACH-000620,JHH-1,Liver,Hepatocellular Carcinoma,0.027794005951371614
ACH-000621,MDA-MB-157,Breast,Invasive Breast Carcinoma,0.0072110031070514065
ACH-000622,KNS-42,CNS/Brain,Diffuse Glioma,-0.0673184651516866
ACH-000623,SNU-201,CNS/Brain,Diffuse Glioma,-0.007926823947391172
ACH-000624,HCC1806,Breast,Breast Ductal Carcinoma In Situ,-0.04922303752401215
ACH-000627,LCLC-103H,Lung,Non-Small Cell Lung Cancer,-0.24119366626618247
ACH-000630,YD-8,Head and Neck,Head and Neck Squamous Cell Carcinoma,-0.060161979540315075
ACH-000631,KS-1,CNS/Brain,Diffuse Glioma,-0.09041043521742154
ACH-000632,Hs 944.T,Skin,Melanoma,0.015678871632983423
ACH-000633,FU97,Esophagus/Stomach,Esophagogastric Adenocarcinoma,-0.14112998693404252
ACH-000634,LN-340,CNS/Brain,Diffuse Glioma,-0.349883534299126
ACH-000637,KYSE-520,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,0.06741613515464238
ACH-000638,NCI-H441,Lung,Non-Small Cell Lung Cancer,0.0656689140362414
ACH-000639,NCI-H211,Lung,Lung Neuroendocrine Tumor,-0.04498757969265883
ACH-000645,JL-1,Pleura,Pleural Mesothelioma,-0.15532708438614276
ACH-000646,OVMANA,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.06835960955139056
ACH-000647,TE-1,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,-0.03994858295490941
ACH-000648,NCI-H28,Pleura,Pleural Mesothelioma,0.1315342681391448
ACH-000649,786-O,Kidney,Renal Cell Carcinoma,-0.03508662148618337
ACH-000651,SW 620,Bowel,Colorectal Adenocarcinoma,-0.02048672018303297
ACH-000652,SUIT-2,Pancreas,Pancreatic Adenocarcinoma,-0.2577123318845358
ACH-000653,JJN-3,Lymphoid,Mature B-Cell Neoplasms,0.3441528971417413
ACH-000654,Raji,Lymphoid,Non-Hodgkin Lymphoma,-0.14361490774397953
ACH-000655,SF268,CNS/Brain,Diffuse Glioma,-0.22617096290994673
ACH-000656,SU-DHL-8,Lymphoid,Mature B-Cell Neoplasms,-0.12968913955638248
ACH-000657,A2780,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,0.05037412399516371
ACH-000660,SU-DHL-5,Lymphoid,Mature B-Cell Neoplasms,0.02572163107843792
ACH-000661,WM1799,Skin,Melanoma,0.020397979015003575
ACH-000662,COR-L23,Lung,Non-Small Cell Lung Cancer,-0.3832259000362095
ACH-000663,OVTOKO,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,0.012128334424512398
ACH-000664,SU-DHL-1,Lymphoid,Mature T and NK Neoplasms,-0.09213359680266145
ACH-000665,SK-MES-1,Lung,Non-Small Cell Lung Cancer,0.0046054425885036394
ACH-000666,NCI-H1355,Lung,Non-Small Cell Lung Cancer,-0.024558155049755667
ACH-000667,HCC-44,Lung,Non-Small Cell Lung Cancer,0.14137790814971204
ACH-000668,HCC70,Breast,Invasive Breast Carcinoma,-0.16684314393474292
ACH-000671,HuH-6,Liver,Hepatoblastoma,-0.014484217339582934
ACH-000672,IA-LM,Lung,Non-Small Cell Lung Cancer,0.029493267083793438
ACH-000673,LN-443,CNS/Brain,Diffuse Glioma,-0.14703919319397726
ACH-000676,LN-464,Skin,Melanoma,-0.15525492900992802
ACH-000677,SW 1573,Lung,Non-Small Cell Lung Cancer,-0.03356734157555222
ACH-000681,A549,Lung,Non-Small Cell Lung Cancer,-0.13600248081299987
ACH-000682,SNU-1066,Head and Neck,Head and Neck Squamous Cell Carcinoma,-0.05160517364015907
ACH-000683,SNU-503,Bowel,Colorectal Adenocarcinoma,-0.04809869524984841
ACH-000684,KMRC-1,Kidney,Renal Cell Carcinoma,0.21512886584346633
ACH-000685,L3.3,Pancreas,Adenosquamous Carcinoma of the Pancreas,0.11749814137258618
ACH-000688,OV7,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.43124722718071146
ACH-000693,KYSE-180,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,-0.026681092854203906
ACH-000694,TE-9,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,-0.053666825121976014
ACH-000695,COR-L47,Lung,Lung Neuroendocrine Tumor,-0.14719908276234467
ACH-000696,OVCAR-8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.08270570479594452
ACH-000697,A3/KAW,Lymphoid,Mature B-Cell Neoplasms,0.029086410654751437
ACH-000698,DMS 53,Lung,Lung Neuroendocrine Tumor,0.049065856332091914
ACH-000699,HCC1395,Breast,Invasive Breast Carcinoma,0.07770564234937494
ACH-000700,NCI-H2882,Lung,Non-Small Cell Lung Cancer,-0.1066554477475823
ACH-000701,RMUG-S,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.2537146108578895
ACH-000702,L-1236,Lymphoid,Hodgkin Lymphoma,0.014665734800186726
ACH-000704,OAW42,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.2545530345200874
ACH-000706,EKVX,Lung,Non-Small Cell Lung Cancer,-0.14960560961707914
ACH-000709,KMRC-2,Kidney,Renal Cell Carcinoma,0.012242667481623944
ACH-000711,JIMT-1,Breast,Invasive Breast Carcinoma,0.054629367315637556
ACH-000713,Caov-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.16974264598851657
ACH-000714,KMS-11,Lymphoid,Mature B-Cell Neoplasms,-0.16412026318381145
ACH-000716,TT2609-C02,Thyroid,Well-Differentiated Thyroid Cancer,-0.0640456949008257
ACH-000717,COLO-680N,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,-0.16315715010011841
ACH-000718,NCI-H2291,Lung,Non-Small Cell Lung Cancer,-0.07446423833117778
ACH-000719,RMG-I,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,0.03263227857542583
ACH-000720,TCCSUP,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,0.01706000442824584
ACH-000721,HMC-1-8,Breast,Invasive Breast Carcinoma,-0.0875198228908115
ACH-000722,SNU-C1,Bowel,Colorectal Adenocarcinoma,-0.221274823509574
ACH-000724,HT-1376,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,-0.11340584734373821
ACH-000725,HCC202,Breast,Breast Ductal Carcinoma In Situ,0.16200829548973153
ACH-000732,PE/CA-PJ41 (clone D2),Head and Neck,Head and Neck Squamous Cell Carcinoma,0.04130270382499403
ACH-000734,JHH-5,Liver,Hepatocellular Carcinoma,-0.12387221094452945
ACH-000735,PE/CA-PJ49,Head and Neck,Head and Neck Squamous Cell Carcinoma,-0.21245038230715224
ACH-000736,SNU-601,Esophagus/Stomach,Esophagogastric Adenocarcinoma,-0.08916514510029917
ACH-000738,GB-1,CNS/Brain,Diffuse Glioma,-0.04404667669499056
ACH-000739,Hep G2,Liver,Hepatoblastoma,-0.09696341847944871
ACH-000740,A-253,Head and Neck,Head and Neck Squamous Cell Carcinoma,0.12985615027419714
ACH-000741,U-BLC1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,0.02281148784134829
ACH-000746,GSS,Esophagus/Stomach,Esophagogastric Adenocarcinoma,0.18603908075262968
ACH-000747,NCI-H1703,Lung,Non-Small Cell Lung Cancer,-0.13670880393199816
ACH-000748,SJSA-1,Bone,Osteosarcoma,-0.10798678258919409
ACH-000749,DMS 273,Lung,Lung Neuroendocrine Tumor,0.05539840409374576
ACH-000753,JMSU-1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,0.021677685716615862
ACH-000754,L-428,Lymphoid,Hodgkin Lymphoma,0.1043212141130557
ACH-000756,GI-1,CNS/Brain,Diffuse Glioma,-0.17194322589745872
ACH-000757,A427,Lung,Non-Small Cell Lung Cancer,-0.07731135936487007
ACH-000758,MKN74,Esophagus/Stomach,Esophagogastric Adenocarcinoma,-0.029835114276226045
ACH-000760,LNZ308,CNS/Brain,Diffuse Glioma,0.06516944554508164
ACH-000762,YD-38,Head and Neck,Head and Neck Squamous Cell Carcinoma,0.14511736321022517
ACH-000763,MM1-S,Lymphoid,Mature B-Cell Neoplasms,0.18078875883382875
ACH-000764,SH-10-TC,Esophagus/Stomach,Esophagogastric Adenocarcinoma,0.04622265603040046
ACH-000765,WM983B,Skin,Melanoma,0.065303256509213
ACH-000766,NCI-H1648,Lung,Non-Small Cell Lung Cancer,-0.0634348327206094
ACH-000767,NCI-H526,Lung,Lung Neuroendocrine Tumor,0.03772269872740895
ACH-000768,MDA-MB-231,Breast,Invasive Breast Carcinoma,0.12440371643761208
ACH-000769,LK-2,Lung,Non-Small Cell Lung Cancer,-0.14122495129614174
ACH-000770,P31/FUJ,Myeloid,Acute Myeloid Leukemia,0.07872439430057057
ACH-000771,BICR 56,Head and Neck,Head and Neck Squamous Cell Carcinoma,0.012951343711846666
ACH-000773,Ki-JK,Lymphoid,Mature T and NK Neoplasms,-0.17047127124031097
ACH-000774,RERF-LC-Ad2,Lung,Non-Small Cell Lung Cancer,0.14378763475835313
ACH-000775,NCI-H727,Lung,Lung Neuroendocrine Tumor,-0.11755750277745729
ACH-000776,ONS-76,CNS/Brain,Embryonal Tumor,-0.09307147727535703
ACH-000777,KYSE-30,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,0.1577389747746236
ACH-000778,HSC-3,Head and Neck,Head and Neck Squamous Cell Carcinoma,-0.021911422579256736
ACH-000781,NCI-H2023,Lung,Non-Small Cell Lung Cancer,-0.037213173345871056
ACH-000782,SEM,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,-0.1694427950706455
ACH-000783,CAMA-1,Breast,Invasive Breast Carcinoma,0.02900150236788591
ACH-000784,KYSE-70,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,0.03852714608390115
ACH-000785,NCI-H2126,Lung,Non-Small Cell Lung Cancer,-0.25005277910947693
ACH-000787,LXF-289,Lung,Non-Small Cell Lung Cancer,-0.1360702252452218
ACH-000788,A2058,Skin,Melanoma,-0.05121407928504923
ACH-000790,SHP-77,Lung,Lung Neuroendocrine Tumor,-0.11197572135589909
ACH-000791,RERF-LC-Ad1,Lung,Non-Small Cell Lung Cancer,0.030276331411835337
ACH-000792,BFTC-909,Kidney,Renal Cell Carcinoma,0.10791507321737379
ACH-000793,KATO III,Esophagus/Stomach,Esophagogastric Adenocarcinoma,-0.09912134446596385
ACH-000794,BICR 22,Head and Neck,Head and Neck Squamous Cell Carcinoma,0.11176626476203697
ACH-000796,MCAS,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.08050594726063984
ACH-000798,CL-40,Bowel,Colorectal Adenocarcinoma,-0.16322136215660363
ACH-000799,Hs 695T,Skin,Melanoma,-0.021883201075187132
ACH-000800,NCI-H446,Lung,Lung Neuroendocrine Tumor,-0.022498343937352474
ACH-000801,Hs 936.T,Skin,Melanoma,-0.10770828711105737
ACH-000802,BFTC-905,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,-0.10286275683619474
ACH-000804,NB-1,Peripheral Nervous System,Neuroblastoma,-0.0855654219262925
ACH-000805,COLO-679,Skin,Melanoma,-0.10704909805556631
ACH-000807,SNU-738,CNS/Brain,Diffuse Glioma,0.1071929099687848
ACH-000809,KYSE-410,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,-0.013534098153326284
ACH-000810,SK-MEL-30,Skin,Melanoma,-0.027655633693360143
ACH-000811,SK-OV-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,-0.10178009941019579
ACH-000817,RPMI 8226,Lymphoid,Mature B-Cell Neoplasms,-0.04717166597479615
ACH-000819,LN-18,CNS/Brain,Diffuse Glioma,-0.05160852754332174
ACH-000820,SW403,Bowel,Colorectal Adenocarcinoma,-0.1258204387105384
ACH-000821,EJM,Lymphoid,Mature B-Cell Neoplasms,0.3332651921852551
ACH-000822,SK-MEL-24,Skin,Melanoma,0.03002033055955967
ACH-000823,KYSE-140,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,-0.05000999409075438
ACH-000824,KYSE-510,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,0.011166725837283672
ACH-000826,CAL-12T,Lung,Non-Small Cell Lung Cancer,-0.11129744249742687
ACH-000827,WM793,Skin,Melanoma,-0.08527547514976179
ACH-000829,HuNS1,Lymphoid,Mature B-Cell Neoplasms,0.056623656112142234
ACH-000831,HEC-50B,Uterus,Endometrial Carcinoma,-0.0444407993739841
ACH-000832,CAL 27,Head and Neck,Head and Neck Squamous Cell Carcinoma,0.010118925579177849
ACH-000833,RH-30,Soft Tissue,Rhabdomyosarcoma,-0.015808739571329347
ACH-000834,UM-UC-1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,-0.2654203703869736
ACH-000835,GCT,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,0.17263649408129275
ACH-000836,YD-15,Head and Neck,Head and Neck Squamous Cell Carcinoma,0.012104147658875613
ACH-000837,NCI-H322,Lung,Non-Small Cell Lung Cancer,-0.09357931346740905
ACH-000838,AMO-1,Lymphoid,Mature B-Cell Neoplasms,-0.09473651527464971
ACH-000839,SCaBER,Bladder/Urinary Tract,Bladder Squamous Cell Carcinoma,0.03718134184670609
ACH-000840,HCC-366,Lung,Non-Small Cell Lung Cancer,0.13494314602147084
ACH-000841,NCI-H2087,Lung,Non-Small Cell Lung Cancer,-0.18736443576664366
ACH-000843,HARA,Lung,Non-Small Cell Lung Cancer,-0.12481160627617252
ACH-000845,NCI-H1373,Lung,Non-Small Cell Lung Cancer,0.25517790075352054
ACH-000846,FaDu,Head and Neck,Head and Neck Squamous Cell Carcinoma,0.1387598863349735
ACH-000847,HGC-27,Esophagus/Stomach,Esophagogastric Adenocarcinoma,-0.0843096894108613
ACH-000848,JHH-7,Liver,Hepatocellular Carcinoma,-0.2540649058158093
ACH-000849,MDA-MB-468,Breast,Invasive Breast Carcinoma,-0.16560264160750426
ACH-000851,MOR/CPR,Lung,Non-Small Cell Lung Cancer,-0.2308131695791347
ACH-000853,NCI-H661,Lung,Non-Small Cell Lung Cancer,0.07054592350745463
ACH-000855,KYSE-150,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,-0.12303652172270567
ACH-000856,CAL-51,Breast,Invasive Breast Carcinoma,-0.01330581539238108
ACH-000858,KNS-62,Lung,Non-Small Cell Lung Cancer,-0.09086774425140988
ACH-000859,HCC1954,Breast,Breast Ductal Carcinoma In Situ,-0.26443254674347105
ACH-000860,NCI-H358,Lung,Non-Small Cell Lung Cancer,0.009788345286797378
ACH-000861,HOP-62,Lung,Non-Small Cell Lung Cancer,-0.1308904213425021
ACH-000862,KMBC-2,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,-0.053413885257485576
ACH-000863,DBTRG-05MG,CNS/Brain,Diffuse Glioma,-0.10260625348301497
ACH-000864,COLO 684,Uterus,Endometrial Carcinoma,-0.07630521450105694
ACH-000865,KYSE-450,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,0.03086045808554316
ACH-000866,NCI-H1048,Lung,Lung Neuroendocrine Tumor,0.08240729069827588
ACH-000867,ChaGo-K-1,Lung,Non-Small Cell Lung Cancer,0.039823649824456714
ACH-000869,NCI-H1568,Lung,Non-Small Cell Lung Cancer,-0.14811408557677985
ACH-000871,NCI-H510,Lung,Lung Neuroendocrine Tumor,0.027584014281590397
ACH-000872,HCC515,Lung,Non-Small Cell Lung Cancer,0.011043847755344876
ACH-000873,KYSE-270,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,-0.07113676099587479
ACH-000874,RS4;11,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,0.004024169468169095
ACH-000876,MDA-MB-415,Breast,Invasive Breast Carcinoma,-0.15257858687135634
ACH-000878,HCC-15,Lung,Non-Small Cell Lung Cancer,0.03660051448056004
